DTCR Score: 0.862

drug	#_of_rounds	DTCS_score	normalized_DTCS_score
M3814	1	50.722197737623034	411.86424562949907
M3814	2	51.208021154693675	415.80913177611296
M3814	3	45.68473630086675	370.96005876303775
M3814	4	50.30351109152343	408.4645100631701
M3814	5	53.022476862053765	430.5425121198766
M3814	6	51.93403848978991	421.704392537094
M3814	7	51.91538122520935	421.55289554869984
M3814	8	50.924195680916725	413.5044689290437
M3814	9	51.319230204201546	416.7121492581167
M3814	10	46.625091817246975	378.59574555604536
M3814	11	46.3848978992214	376.6453709416776
M3814	12	51.45320993095345	417.80006463934177
M3814	13	45.173350962244754	366.80760981342723
M3814	14	46.81122374026739	380.1071367709709
M3814	15	50.14176582929342	407.1511385338621
M3814	16	47.6525635375349	386.9388159247832
M3814	17	56.36227412957251	457.66166593212864
M3814	18	52.345379756133404	425.04448361980275
M3814	19	51.07742030262967	414.7486528573527
M3814	20	50.180108711620406	407.4624827383575
M3814	21	52.20978404583519	423.9434464521815
M3814	22	50.84471867195537	412.859115616277
M3814	23	49.89819303658001	405.1733274570293
M3814	24	49.04745115322464	398.265303364184
M3814	25	51.03070368738065	414.36931394153055
M3814	26	51.22359335977672	415.9355780813867
M3814	27	51.23916556485973	416.0620243866606
M3814	28	47.89026002644337	388.8689114147202
M3814	29	52.09034817100046	422.9736271485236
M3814	30	49.58572058175408	402.63605112384306
M3814	31	45.72307918319378	371.2714029675333
M3814	32	48.56265608931983	394.32876744527675
M3814	33	46.03173204054652	373.7776641692374
M3814	34	51.797267518730735	420.59381225209347
M3814	35	54.929631261936244	446.02860584692223
M3814	36	54.45453209930954	442.1708006463934
M3814	37	53.88320846187752	437.53165271044486
M3814	38	51.19656236227415	415.716086381666
M3814	39	51.96488908476568	421.9548993682973
M3814	40	51.61598354634935	419.12178639635647
M3814	41	52.473776994270615	426.0870691934771
M3814	42	42.99089172910241	349.0860408403115
M3814	43	48.82885265168211	396.4902835316586
M3814	44	51.61789334508598	419.13729396209754
M3814	45	50.27236668135744	408.2116174526221
M3814	46	53.356397825767594	433.2539503452327
M3814	47	52.04377846334659	422.59548112237377
M3814	48	51.22403408256209	415.93915675040387
M3814	49	51.438078448655816	417.67719700308487
M3814	50	53.41163508153374	433.7024768620537
M3814	51	50.66754811223741	411.4204906713676
M3814	52	48.17981489643016	391.22009695901266
M3814	53	48.84927280740416	396.6560951961215
M3814	54	51.65035992360807	419.4009225796971
M3814	55	51.57631849566624	418.79970618480957
M3814	56	50.40575877772881	409.2947612751578
M3814	57	48.97340972528281	397.66408696929636
M3814	58	52.770383428823294	428.495513442045
M3814	59	46.936242103716786	381.12228588218017
M3814	60	53.227853680035274	432.21017188188625
M3814	61	53.44439547524609	433.96849125899803
M3814	62	50.179521081239905	407.4577111796678
M3814	63	49.866754811223736	404.9180490671367
M3814	64	51.66167180843252	419.4927750844718
M3814	65	50.261348611723264	408.1221507271925
M3814	66	49.83766710738948	404.6818569120023
M3814	67	49.682091964154544	403.41858674893484
M3814	68	51.663581607169085	419.508282650213
M3814	69	48.999853092404905	397.8788071103274
M3814	70	50.869986778316445	413.0642926399293
M3814	71	52.801527838989315	428.7484060525927
M3814	72	52.01718818862937	422.3795680916702
M3814	73	46.83502277067726	380.3003848978991
M3814	74	53.250624357279285	432.39506978110757
M3814	75	49.10107242544441	398.70070809460856
M3814	76	48.54855296018805	394.21425003672675
M3814	77	45.41736447774351	368.7889995592771
M3814	78	46.60805053621273	378.45737035404716
M3814	79	48.146466872337285	390.9493110033789
M3814	80	49.54076685764656	402.27102688408974
M3814	81	46.33274570295287	376.22189510797705
M3814	82	50.694285294549736	411.63759659174394
M3814	83	52.05464962538566	422.6837549581311
M3814	84	49.73439106801828	403.8432554723077
M3814	85	51.76450712501836	420.32779785514896
M3814	86	50.080652269722364	406.6548964301453
M3814	87	49.05626560893198	398.3368767445278
M3814	88	46.50359923608052	377.60922579697353
M3814	89	44.144410166005585	358.4526105479653
M3814	90	50.504186866461026	410.0939973556631
M3814	91	51.835316585867496	420.90277067724384
M3814	92	52.7750844718672	428.5336859115614
M3814	93	49.497869839870724	401.9227030997502
M3814	94	49.38651388276775	401.018492728074
M3814	95	48.117672983693296	390.71550462758916
M3814	96	49.9926546202439	405.9403555163803
M3814	97	52.18760099897166	423.7633201116496
M3814	98	54.4774496841487	442.35689143528697
M3814	99	48.85720581754075	396.72051123843096
M3814	100	53.72381372116937	436.2373674158953
M3814	101	54.62171294255915	443.52830909357994
M3814	102	45.89070074922875	372.63249008373737
M3814	103	50.8942265315117	413.2611194358746
M3814	104	46.28103422946969	375.80199794329354
M3814	105	56.00617011899516	454.7701013662405
M3814	106	49.33906272954312	400.63318936389004
M3814	107	51.57499632731013	418.78897017775813
M3814	108	49.27177905097695	400.08684589393266
M3814	109	53.28720434846485	432.6920993095341
M3814	110	53.4289701777582	433.84323784339637
M3814	111	49.219773762303504	399.6645629499046
M3814	112	48.85926252387253	396.73721169384464
M3814	113	48.17966798883501	391.2189040693401
M3814	114	51.17614220655208	415.5502747172029
M3814	115	47.55149111209051	386.1181078301747
M3814	116	45.432495960041145	368.9118671955341
M3814	117	52.9475539885412	429.9341383869544
M3814	118	50.19524019391803	407.58535037461445
M3814	119	53.24180990157193	432.32349640076376
M3814	120	50.96694579109741	413.851599823711
M3814	121	50.01733509622447	406.1407609813427
M3814	122	51.55663287791982	418.63985896870855
M3814	123	49.9789922138975	405.8294167768473
