Target_gene	Vulnerability_gene	Length_of_shortest_path	Number_of_shortest_paths	TVIS_score	DGIdb_interaction_score
PRKDC	PLPP5	3	115	3.5910483840377754e-07	8.12
PRKDC	SLC36A2	3	472	3.2157854391728506e-06	8.12
PRKDC	KCNJ13	3	472	3.2157854391728506e-06	8.12
PRKDC	CCNE2	1	1	0.001584786053882726	8.12
PRKDC	SLCO1A2	3	881	5.054356306451358e-06	8.12
PRKDC	WDR75	3	60	4.248525927830436e-07	8.12
PRKDC	CHRNB3	3	683	8.595698791264664e-07	8.12
PRKDC	OR10P1	3	1212	9.157559897045505e-07	8.12
PRKDC	SUMO3	3	202	7.219685907510985e-07	8.12
PRKDC	CPSF3	3	989	6.694206660119378e-06	8.12
PRKDC	UGT1A4	3	69	4.948996336918375e-07	8.12
PRKDC	NOS1AP	3	2850	1.0952200144386405e-05	8.12
PRKDC	MITF	2	5	1.0686276634946916e-05	8.12
PRKDC	NNMT	3	61	2.195243584844022e-06	8.12
PRKDC	POLE4	2	12	0.0005506011432952535	8.12
PRKDC	AR	2	41	0.0004748592132461409	8.12
PRKDC	XYLT1	0	0	0	8.12
PRKDC	FBL	3	60	4.248525927830436e-07	8.12
PRKDC	ACVR1	2	18	3.4064967014016325e-05	8.12
PRKDC	EPN1	2	3	6.2833217729429554e-06	8.12
PRKDC	GIPR	2	2	2.0915513873260352e-06	8.12
PRKDC	PCYT1A	3	115	4.7506577580499767e-07	8.12
PRKDC	GSTP1	3	60	6.635943204927861e-07	8.12
PRKDC	IL17RE	2	5	8.537905524518268e-06	8.12
PRKDC	PEX3	3	73	1.116510679018179e-06	8.12
PRKDC	G6PC3	2	41	4.747027673821695e-05	8.12
PRKDC	NFKBIB	2	9	7.839035662836864e-06	8.12
PRKDC	NCBP2	3	1307	2.2887684259355273e-06	8.12
PRKDC	GPER1	3	4157	1.1914266791314406e-05	8.12
PRKDC	RAP1A	2	19	1.113682413222695e-05	8.12
PRKDC	SLC18A2	2	1	1.3225204064898721e-06	8.12
PRKDC	YARS2	4	14	1.532115832729632e-09	8.12
PRKDC	NFYB	3	878	1.1405136297655012e-05	8.12
PRKDC	SIGLEC1	3	703	4.317180558209744e-06	8.12
PRKDC	PMM2	3	116	2.1964390080471563e-06	8.12
PRKDC	PUF60	3	116	5.984462880709621e-07	8.12
PRKDC	FCF1	3	60	4.248525927830436e-07	8.12
PRKDC	LPAR1	2	22	1.534510971744883e-05	8.12
PRKDC	GDF3	2	3	5.117478834618998e-06	8.12
PRKDC	BLM	2	4	9.309612632465949e-05	8.12
PRKDC	CSTF2T	3	989	6.694206660119378e-06	8.12
PRKDC	PRLHR	3	683	8.595698791264664e-07	8.12
PRKDC	BCL10	2	4	1.2422985498799907e-05	8.12
PRKDC	COLEC12	3	993	4.705389807941489e-06	8.12
PRKDC	SIK1	2	2	9.673425166382914e-06	8.12
PRKDC	ADORA2B	3	9371	5.84200767196327e-06	8.12
PRKDC	PSMD13	3	28	1.0639409682017525e-06	8.12
PRKDC	DGUOK	3	622	2.67779324866611e-06	8.12
PRKDC	ANAPC2	1	1	0.002890173410404624	8.12
PRKDC	TIAM1	2	7	5.734933206887543e-06	8.12
PRKDC	COL7A1	3	472	3.2157854391728506e-06	8.12
PRKDC	PSME2	3	881	7.706178943657227e-06	8.12
PRKDC	PRIM2	2	8	0.0008434689744387369	8.12
PRKDC	ABCB1	3	882	3.3808524390513853e-06	8.12
PRKDC	GTF2H5	2	4	8.994228071796206e-05	8.12
PRKDC	CROT	3	73	1.116510679018179e-06	8.12
