Target_gene	Vulnerability_gene	Length_of_shortest_path	Number_of_shortest_paths	TVIS_score	DGIdb_interaction_score
PRKDC	APIP	3	28	6.329412680219872e-07	8.12
PRKDC	PRKACA	2	71	3.6196927615040014e-05	8.12
PRKDC	NPY1R	2	2	2.02421774105397e-06	8.12
PRKDC	GPAT4	3	115	3.5910483840377754e-07	8.12
PRKDC	CHST11	0	0	0	8.12
PRKDC	CCDC12	3	116	5.984462880709621e-07	8.12
PRKDC	VDAC1	2	44	7.528162455241571e-05	8.12
PRKDC	NUP210	3	202	7.219685907510985e-07	8.12
PRKDC	MTHFR	4	1428	2.188300149280546e-07	8.12
PRKDC	BNIP1	4	16335	7.240598186435046e-07	8.12
PRKDC	PRKAR1B	2	1	2.6052657631605e-06	8.12
PRKDC	ERCC1	2	5	9.134180469709079e-05	8.12
PRKDC	NT5M	3	683	2.3517581803017377e-06	8.12
PRKDC	VPS45	2	3	6.2833217729429554e-06	8.12
PRKDC	DBT	3	51	8.024502769540795e-07	8.12
PRKDC	GORAB	2	23	0.00032219606438192597	8.12
PRKDC	TCF7L1	2	23	3.860493349055075e-05	8.12
PRKDC	MED12L	2	9	5.738186630688581e-05	8.12
PRKDC	PRPF3	3	116	5.984462880709621e-07	8.12
PRKDC	FOXO1	2	53	0.00011651741959802783	8.12
PRKDC	NLGN4X	3	703	4.317180558209744e-06	8.12
PRKDC	GTF2H2C_2	2	4	8.994228071796206e-05	8.12
PRKDC	PRIM1	2	8	0.0008434689744387369	8.12
PRKDC	OR1A2	3	1212	9.157559897045505e-07	8.12
PRKDC	MRPS10	3	28	7.271490738540369e-08	8.12
PRKDC	THPO	2	11	2.275364321762267e-05	8.12
PRKDC	LPAR6	2	21	1.824645928757949e-05	8.12
PRKDC	HTD2	3	21	1.549090372900233e-06	8.12
PRKDC	GSTT1	3	60	6.635943204927861e-07	8.12
PRKDC	ADCY8	2	56	4.517230456792343e-05	8.12
PRKDC	IL12RB2	2	10	1.165678492067678e-05	8.12
PRKDC	CXCL5	2	5	5.841724832565132e-06	8.12
PRKDC	CMA1	3	6	1.2485523137447022e-06	8.12
PRKDC	MT-TQ	4	14	1.532115832729632e-09	8.12
PRKDC	ANGPT4	2	32	2.778191489293029e-05	8.12
PRKDC	CLDN19	2	3	6.911071494315986e-06	8.12
PRKDC	TAS1R1	3	600	2.7663543052077107e-06	8.12
PRKDC	RBMXL3	3	116	5.984462880709621e-07	8.12
PRKDC	SOCS7	2	8	1.904870282679741e-05	8.12
PRKDC	OR8B3	3	1212	9.157559897045505e-07	8.12
PRKDC	NTS	3	683	8.595698791264664e-07	8.12
PRKDC	CDO1	3	28	5.218989402988313e-07	8.12
PRKDC	TXNRD2	4	1472	2.4793898309810944e-07	8.12
PRKDC	PTPN1	2	5	1.2678193217605133e-05	8.12
PRKDC	JMJD7-PLA2G4B	2	12	7.099844290657973e-06	8.12
PRKDC	AGRN	3	1405	1.0720637600660507e-05	8.12
PRKDC	OR2L2	3	1212	9.157559897045505e-07	8.12
PRKDC	TAB3	2	5	1.0643410325813206e-05	8.12
PRKDC	FANCG	2	1	2.8447883477469277e-05	8.12
PRKDC	PRPF6	3	116	5.984462880709621e-07	8.12
PRKDC	ITGA11	2	21	2.5207145608396845e-05	8.12
PRKDC	RGMA	2	19	6.290263173497554e-05	8.12
PRKDC	SMO	2	5	1.244915191367146e-05	8.12
PRKDC	SRPRA	3	21	1.2921684689893983e-06	8.12
PRKDC	PSMB10	3	28	1.0639409682017525e-06	8.12
PRKDC	PRKCI	2	20	1.4587159813655442e-05	8.12
PRKDC	MPG	2	3	0.0006682308828001545	8.12
PRKDC	GZMA	3	683	8.595698791264664e-07	8.12
PRKDC	TBXA2R	3	6400	5.048236372471504e-06	8.12
PRKDC	DCP2	3	50	7.018458454397713e-07	8.12
PRKDC	OR6C6	3	1212	9.157559897045505e-07	8.12
PRKDC	PTGES3	3	104	6.485015604470007e-07	8.12
PRKDC	CPEB1	2	47	0.0004374524071538693	8.12
PRKDC	XRCC2	2	3	0.00014826174134602662	8.12
PRKDC	NDUFA8	3	2619	4.044616559694588e-06	8.12
PRKDC	CERS4	2	1	3.113712791132146e-06	8.12
PRKDC	SNRPB	3	116	5.984462880709621e-07	8.12
PRKDC	RNPS1	3	1191	3.1023642262781997e-06	8.12
PRKDC	FCGR1A	2	3	1.4249611102800118e-05	8.12
PRKDC	CD68	3	89	7.67390745164879e-07	8.12
PRKDC	PRH2	3	1884	7.947509148570654e-06	8.12
PRKDC	HAND1	2	5	1.8127135351923274e-05	8.12
PRKDC	SLC5A6	3	1	5.3843847672739676e-08	8.12
PRKDC	POLR1D	3	761	3.667893142042712e-06	8.12
PRKDC	HTRA2	2	5	2.6958543697499994e-05	8.12
PRKDC	AADAT	3	68	1.2204349952551992e-06	8.12
PRKDC	OR1S1	3	1212	9.157559897045505e-07	8.12
PRKDC	UBE2J2	2	19	8.462740601856583e-05	8.12
PRKDC	ABCC3	3	882	3.3808524390513853e-06	8.12
PRKDC	SPCS1	3	21	1.2921684689893983e-06	8.12
PRKDC	IL7	2	27	3.0581186960927945e-05	8.12
PRKDC	BMP8B	2	27	4.539054678218552e-05	8.12
PRKDC	MAP3K20	2	9	1.950193762815711e-05	8.12
PRKDC	RYR3	2	5	6.498054360839472e-06	8.12
PRKDC	VPS35	2	3	6.2833217729429554e-06	8.12
PRKDC	NDUFB11	3	2619	4.044616559694588e-06	8.12
PRKDC	SCIN	3	4821	7.412541749134069e-06	8.12
PRKDC	HCAR1	2	2	4.813570417721641e-06	8.12
PRKDC	MAT2B	3	28	6.329412680219872e-07	8.12
PRKDC	NAPA	3	85	6.93099896270912e-07	8.12
PRKDC	MYLK4	2	8	5.354670323062761e-06	8.12
PRKDC	PLRG1	3	116	5.984462880709621e-07	8.12
PRKDC	AGPAT5	3	3562	5.209518691485281e-06	8.12
PRKDC	HTR3A	3	2408	5.004149920685377e-06	8.12
PRKDC	NPPA	2	6	6.437435193289186e-06	8.12
PRKDC	SLC22A7	3	881	5.054356306451358e-06	8.12
PRKDC	GTF2F1	2	2	0.00011745360582569885	8.12
PRKDC	RPS27A	3	28	7.271490738540369e-08	8.12
PRKDC	FGFR3	2	32	1.926510588016703e-05	8.12
PRKDC	REST	2	5	1.8127135351923274e-05	8.12
PRKDC	PPP2R5D	2	55	8.98992815770304e-05	8.12
PRKDC	CCL20	2	5	5.841724832565132e-06	8.12
PRKDC	TJP2	2	3	1.4111828620130248e-05	8.12
PRKDC	CASP12	2	9	1.4270982057525145e-05	8.12
PRKDC	CKB	3	44	4.638602315525878e-07	8.12
PRKDC	GUCA1C	3	643	8.967888494758041e-06	8.12
PRKDC	KRT16	3	4157	1.1914266791314406e-05	8.12
PRKDC	ACYP2	3	137	2.749000002551058e-06	8.12
PRKDC	DPM1	3	39	1.3255572491636333e-06	8.12
PRKDC	OR6S1	3	1212	9.157559897045505e-07	8.12
PRKDC	DBI	3	261	2.7728696058967753e-06	8.12
PRKDC	PTEN	2	58	7.270463408748869e-05	8.12
PRKDC	ARF3	2	3	6.2833217729429554e-06	8.12
PRKDC	CD6	3	703	4.317180558209744e-06	8.12
PRKDC	IL22	2	13	1.578572681229988e-05	8.12
PRKDC	FGF2	2	32	2.3457846557212313e-05	8.12
PRKDC	COX4I2	3	475	1.4426224498879308e-06	8.12
PRKDC	IL33	2	3	3.232091895548841e-06	8.12
PRKDC	SH3KBP1	2	3	6.2833217729429554e-06	8.12
PRKDC	OR52B4	3	1212	9.157559897045505e-07	8.12
PRKDC	GNG4	2	25	1.7660525075691985e-05	8.12
PRKDC	PSME4	3	28	1.0639409682017525e-06	8.12
PRKDC	NOP56	3	60	4.248525927830436e-07	8.12
PRKDC	NDUFB2	3	2619	4.044616559694588e-06	8.12
PRKDC	TAS2R19	3	600	2.7663543052077107e-06	8.12
PRKDC	KLRC2	3	3785	1.061553536583219e-05	8.12
PRKDC	VTN	2	21	2.539525863532518e-05	8.12
PRKDC	OR4F17	3	1212	9.157559897045505e-07	8.12
PRKDC	PNN	3	1191	3.1023642262781997e-06	8.12
PRKDC	ST3GAL2	4	1890	3.378544157682593e-07	8.12
PRKDC	GAR1	3	60	4.248525927830436e-07	8.12
PRKDC	RPLP0	3	28	7.271490738540369e-08	8.12
PRKDC	CXCL8	2	46	5.914500958894751e-05	8.12
PRKDC	NME2	3	622	1.6905260408245603e-06	8.12
PRKDC	SUMO1	3	202	7.219685907510985e-07	8.12
PRKDC	EXOSC5	3	50	7.018458454397713e-07	8.12
PRKDC	PSEN2	2	8	4.110261506118215e-05	8.12
PRKDC	PIGC	4	39	1.9210974625559892e-08	8.12
PRKDC	SLC2A2	2	5	9.13612271192222e-06	8.12
PRKDC	VPS4A	2	3	3.933071644132231e-06	8.12
PRKDC	IL1RN	2	3	5.117478834618998e-06	8.12
PRKDC	SMARCAD1	2	5	1.8127135351923274e-05	8.12
PRKDC	MRPS14	3	28	7.271490738540369e-08	8.12
PRKDC	SEMA3C	2	2	6.883342520474489e-06	8.12
PRKDC	FES	2	2	6.883342520474489e-06	8.12
PRKDC	RPA2	2	15	0.0003059355293041384	8.12
PRKDC	PLIN5	3	261	2.7728696058967753e-06	8.12
PRKDC	BECN1	2	4	1.5509574654301056e-05	8.12
PRKDC	BUD31	3	116	5.984462880709621e-07	8.12
PRKDC	SNAP25	3	1862	4.3811042026168865e-06	8.12
PRKDC	TRIP10	2	1	2.6052657631605e-06	8.12
PRKDC	RPS6KA3	2	60	0.0001296923623668877	8.12
PRKDC	UBR5	2	19	0.00018079491285784524	8.12
PRKDC	COX11	3	26	1.5559707400330511e-07	8.12
PRKDC	KRT26	3	4157	1.1914266791314406e-05	8.12
PRKDC	HLA-DQA2	2	5	1.3831954011436349e-05	8.12
PRKDC	RASA4B	2	1	3.871077630590804e-06	8.12
PRKDC	ASH1L	3	32	1.1034845203987997e-06	8.12
PRKDC	COMT	2	1	1.6041682708349374e-06	8.12
PRKDC	CCNG1	2	23	0.00032219606438192597	8.12
PRKDC	CASQ1	3	3439	8.603808990429781e-06	8.12
PRKDC	GNRHR	3	4461	3.978301767446417e-06	8.12
PRKDC	F2RL2	3	811	1.0888739448329923e-06	8.12
PRKDC	ABCB10	3	10	1.814100768325171e-07	8.12
PRKDC	RSPO2	2	13	4.297793146627028e-05	8.12
PRKDC	LRRC4B	3	703	4.317180558209744e-06	8.12
PRKDC	ETHE1	4	3030	7.044952620378593e-07	8.12
PRKDC	PEX11G	3	73	1.116510679018179e-06	8.12
PRKDC	CDK7	1	1	0.005050505050505051	8.12
PRKDC	NUP210L	3	202	7.219685907510985e-07	8.12
PRKDC	CX3CL1	2	4	3.768807972817015e-06	8.12
PRKDC	BIRC2	2	41	4.117879401524368e-05	8.12
PRKDC	RASAL3	2	1	3.871077630590804e-06	8.12
PRKDC	MUC5B	2	2	8.460949637420226e-06	8.12
PRKDC	OR5AU1	3	1212	9.157559897045505e-07	8.12
PRKDC	FABP5	3	261	2.7728696058967753e-06	8.12
PRKDC	RDH12	3	7	6.646478429262061e-08	8.12
PRKDC	PABPC4	3	1241	2.561686960317618e-06	8.12
PRKDC	KIR2DL2	2	43	0.00015863098251210687	8.12
PRKDC	SCN1B	3	4409	1.281739603338766e-05	8.12
PRKDC	PPP1R14A	3	2919	8.347364723148506e-06	8.12
PRKDC	PSPH	3	8	2.406894579602961e-07	8.12
PRKDC	IDUA	3	89	7.369387314678598e-07	8.12
PRKDC	RORB	2	3	7.262120456027609e-05	8.12
PRKDC	IL13RA1	2	10	1.3848659008325405e-05	8.12
PRKDC	NUP58	3	202	7.219685907510985e-07	8.12
PRKDC	SPTA1	2	5	2.6958543697499994e-05	8.12
PRKDC	ARHGEF6	3	4144	8.15352279451132e-06	8.12
PRKDC	OR51F1	3	1212	9.157559897045505e-07	8.12
PRKDC	PRPF4	3	116	5.984462880709621e-07	8.12
PRKDC	TIMP1	2	5	2.816885142192806e-05	8.12
PRKDC	CNOT6L	3	50	7.018458454397713e-07	8.12
PRKDC	WWC1	2	17	6.229969821829088e-05	8.12
PRKDC	POLR1A	4	12937	1.0750721278401124e-06	8.12
PRKDC	PIGB	4	39	1.9210974625559892e-08	8.12
PRKDC	RBKS	3	57	2.257405521948521e-06	8.12
PRKDC	F7	3	153	1.9458038435476154e-06	8.12
PRKDC	CLCN2	3	170	2.32681970335654e-06	8.12
PRKDC	FUT5	4	568	1.0228503233580644e-07	8.12
PRKDC	EVC2	2	4	3.952971363759631e-05	8.12
PRKDC	HARS1	4	14	1.532115832729632e-09	8.12
PRKDC	MOCS2	3	3	8.199982843210525e-08	8.12
PRKDC	DLG4	2	17	3.728542544882559e-05	8.12
PRKDC	ALDH18A1	3	44	4.638602315525878e-07	8.12
PRKDC	ABCB7	3	10	1.814100768325171e-07	8.12
PRKDC	CYB5R3	3	32	6.025329829802663e-07	8.12
PRKDC	DAD1	2	3	9.729156591807324e-06	8.12
PRKDC	RAD23B	2	6	4.0536575351305233e-05	8.12
PRKDC	RORA	2	7	3.1978376674988466e-05	8.12
PRKDC	CYP4X1	3	2207	6.875758492797313e-06	8.12
PRKDC	ACP2	3	93	8.262923819662487e-07	8.12
PRKDC	XRCC3	2	3	0.00014826174134602662	8.12
PRKDC	NOS3	2	27	1.7645106727640205e-05	8.12
PRKDC	CCL2	2	6	5.804015413409831e-06	8.12
PRKDC	CHMP3	2	3	3.933071644132231e-06	8.12
PRKDC	GDPD1	3	111	8.874798014608353e-07	8.12
PRKDC	RASSF1	2	18	2.7922101407901226e-05	8.12
PRKDC	TNFRSF11A	2	8	8.878168766478059e-06	8.12
PRKDC	THOC7	3	202	7.219685907510985e-07	8.12
PRKDC	HADHB	3	52	5.134203005899307e-07	8.12
PRKDC	PALB2	2	4	9.309612632465949e-05	8.12
PRKDC	MED14	2	9	5.738186630688581e-05	8.12
PRKDC	CNOT7	3	50	7.018458454397713e-07	8.12
PRKDC	SELENOS	2	3	1.2398742241998359e-05	8.12
PRKDC	LGR4	2	13	4.297793146627028e-05	8.12
PRKDC	NEIL1	2	3	0.0006682308828001545	8.12
PRKDC	OR5V1	3	1212	9.157559897045505e-07	8.12
PRKDC	C5	3	811	1.0888739448329923e-06	8.12
PRKDC	BMI1	2	5	1.8127135351923274e-05	8.12
PRKDC	NCKAP1	3	4144	8.15352279451132e-06	8.12
PRKDC	HTR2C	2	1	1.94183806623998e-06	8.12
PRKDC	MT-RNR2	3	88	2.2764102017475212e-07	8.12
PRKDC	DMBT1	3	1884	7.947509148570654e-06	8.12
PRKDC	RBSN	2	3	6.2833217729429554e-06	8.12
PRKDC	SERPINF2	3	153	1.9458038435476154e-06	8.12
PRKDC	OR52E6	3	1212	9.157559897045505e-07	8.12
PRKDC	GEMIN2	3	202	7.219685907510985e-07	8.12
PRKDC	ME1	3	316	2.413817513091339e-06	8.12
PRKDC	KCNMA1	3	5542	7.346563703530749e-06	8.12
PRKDC	HSP90AA1	2	56	5.887040052841517e-05	8.12
PRKDC	PTDSS1	3	115	4.7506577580499767e-07	8.12
PRKDC	DCP1A	3	50	7.018458454397713e-07	8.12
PRKDC	SHC2	2	10	6.288383467500114e-06	8.12
PRKDC	CLDN1	2	3	6.911071494315986e-06	8.12
PRKDC	PLIN4	3	261	2.7728696058967753e-06	8.12
PRKDC	RPL27	3	28	7.271490738540369e-08	8.12
PRKDC	POLE3	2	12	0.0005506011432952535	8.12
PRKDC	RSPO1	2	13	4.297793146627028e-05	8.12
PRKDC	BMS1	3	60	4.248525927830436e-07	8.12
PRKDC	CD8B	2	3	1.5978362197517694e-05	8.12
PRKDC	CYSLTR1	3	3973	3.984042948383e-06	8.12
PRKDC	OGG1	2	3	0.0006682308828001545	8.12
PRKDC	GNG11	2	25	1.7660525075691985e-05	8.12
PRKDC	HOXB1	2	5	1.8127135351923274e-05	8.12
PRKDC	HIF1A	2	16	3.7618831848823674e-05	8.12
PRKDC	SGK2	2	39	7.158093951641259e-05	8.12
PRKDC	CRLS1	3	115	4.7506577580499767e-07	8.12
PRKDC	ARHGAP35	2	4	3.894216082059139e-06	8.12
PRKDC	KCNN4	3	2958	5.393334816070995e-06	8.12
PRKDC	FGF7	2	29	2.427227892635899e-05	8.12
PRKDC	BRAF	2	55	4.707286607840498e-05	8.12
PRKDC	SLC6A1	3	1652	4.136402216601311e-06	8.12
PRKDC	POMT1	3	12	1.2144401430940336e-06	8.12
PRKDC	OR52K1	3	1212	9.157559897045505e-07	8.12
PRKDC	PCNA	1	1	0.0026954177897574125	8.12
PRKDC	SCNN1G	2	1	2.239140170174653e-05	8.12
PRKDC	SOCS4	2	8	1.2570861124755194e-05	8.12
PRKDC	OR1J1	3	1212	9.157559897045505e-07	8.12
PRKDC	A2M	3	153	1.9458038435476154e-06	8.12
PRKDC	CDC25C	1	1	0.004291845493562232	8.12
PRKDC	BCL2A1	2	5	1.7190955401304345e-05	8.12
PRKDC	MAPK10	2	61	3.4201375955237495e-05	8.12
PRKDC	ETS2	2	1	3.871077630590804e-06	8.12
PRKDC	STAM	2	10	1.2393825536924405e-05	8.12
PRKDC	PDE1B	3	4024	2.370204862180597e-06	8.12
PRKDC	COLGALT1	3	44	1.364572896394757e-06	8.12
PRKDC	WAS	2	8	1.0739556290774253e-05	8.12
PRKDC	TCF3	2	5	1.8127135351923274e-05	8.12
PRKDC	CPEB2	2	47	0.0004374524071538693	8.12
PRKDC	APLN	2	4	4.532018567815244e-06	8.12
PRKDC	TRIM32	2	19	0.00018079491285784524	8.12
PRKDC	GFUS	3	116	2.1964390080471563e-06	8.12
PRKDC	IDH3G	3	97	2.1901031409466376e-06	8.12
PRKDC	REXO5	3	60	4.248525927830436e-07	8.12
PRKDC	GRK6	2	4	4.54855168904883e-06	8.12
PRKDC	NME1	3	622	1.6905260408245603e-06	8.12
PRKDC	STRAP	3	202	7.219685907510985e-07	8.12
PRKDC	LAMTOR4	2	2	9.668404363894354e-06	8.12
PRKDC	SCN9A	3	600	2.7663543052077107e-06	8.12
PRKDC	FANCM	2	1	2.8447883477469277e-05	8.12
PRKDC	NTN1	2	2	6.883342520474489e-06	8.12
PRKDC	LBR	4	2467	1.9898880606571405e-07	8.12
PRKDC	RPL36AL	3	28	7.271490738540369e-08	8.12
PRKDC	EARS2	3	7	9.805541329469645e-08	8.12
PRKDC	POM121C	3	202	7.219685907510985e-07	8.12
PRKDC	BTK	2	5	8.613464385565313e-06	8.12
PRKDC	ARF6	2	4	4.260864285216308e-06	8.12
PRKDC	OR13C4	3	1212	9.157559897045505e-07	8.12
PRKDC	MT-CO1	3	475	1.4426224498879308e-06	8.12
PRKDC	TF	2	6	1.7692240476434883e-05	8.12
PRKDC	ELAVL1	2	5	2.146965784453389e-05	8.12
PRKDC	ACVRL1	2	3	5.117478834618998e-06	8.12
PRKDC	NDUFS4	3	2619	4.044616559694588e-06	8.12
PRKDC	GABRE	3	3336	2.6448576545206286e-06	8.12
PRKDC	POP7	3	262	6.658538529831284e-07	8.12
PRKDC	VAV2	2	7	3.776312028001603e-06	8.12
PRKDC	UBQLN3	2	3	1.2398742241998359e-05	8.12
PRKDC	CDH1	2	19	1.7785882845563575e-05	8.12
PRKDC	ENPP6	3	111	8.874798014608353e-07	8.12
PRKDC	SHOC2	2	1	3.871077630590804e-06	8.12
PRKDC	ABCA9	3	10	1.814100768325171e-07	8.12
PRKDC	OPRK1	3	683	8.595698791264664e-07	8.12
PRKDC	OR4K3	3	1212	9.157559897045505e-07	8.12
PRKDC	OR1I1	3	1212	9.157559897045505e-07	8.12
PRKDC	SLC25A5	2	43	8.899515958784871e-05	8.12
PRKDC	LAMC2	2	21	2.9982067463731936e-05	8.12
PRKDC	SERPING1	3	153	1.9458038435476154e-06	8.12
PRKDC	CD7	2	1	4.9188391539596654e-05	8.12
PRKDC	GALNT3	3	12	1.424631706321847e-06	8.12
PRKDC	HTR3C	3	2408	5.004149920685377e-06	8.12
PRKDC	NEGR1	3	703	4.317180558209744e-06	8.12
PRKDC	WASF1	2	4	6.894563196691874e-06	8.12
PRKDC	ITGAE	3	4144	8.15352279451132e-06	8.12
PRKDC	EHD1	2	3	6.2833217729429554e-06	8.12
PRKDC	NCOA3	2	9	2.9838570479580626e-05	8.12
PRKDC	KCNMB1	3	5410	9.401363991960108e-06	8.12
PRKDC	CHST13	0	0	0	8.12
PRKDC	TBL1Y	2	13	4.297793146627028e-05	8.12
PRKDC	UBB	2	3	6.2833217729429554e-06	8.12
PRKDC	MGST1	3	60	6.635943204927861e-07	8.12
PRKDC	PPP2R1A	2	69	7.849222313009915e-05	8.12
PRKDC	PABPN1	3	989	6.694206660119378e-06	8.12
PRKDC	ALDH1L2	4	1428	2.188300149280546e-07	8.12
PRKDC	CRY2	2	3	7.262120456027609e-05	8.12
PRKDC	CTSV	2	5	1.46441471937037e-05	8.12
PRKDC	IL31RA	2	3	5.117478834618998e-06	8.12
PRKDC	S1PR1	2	26	3.979559710123437e-05	8.12
PRKDC	POM121	3	202	7.219685907510985e-07	8.12
PRKDC	RAB11FIP1	2	3	6.2833217729429554e-06	8.12
PRKDC	PPP2R5E	2	55	8.98992815770304e-05	8.12
PRKDC	ITGA2B	2	22	2.525518760330937e-05	8.12
PRKDC	CPLX2	3	85	6.93099896270912e-07	8.12
PRKDC	PARS2	4	14	1.532115832729632e-09	8.12
PRKDC	HRH3	3	683	8.595698791264664e-07	8.12
PRKDC	H2AC21	3	2433	1.0014938830860991e-05	8.12
PRKDC	MRPL12	3	28	7.271490738540369e-08	8.12
PRKDC	BST1	3	2109	4.623226727007145e-06	8.12
PRKDC	MYL7	2	4	4.60695059044662e-06	8.12
PRKDC	MLH1	2	2	4.09709976189436e-05	8.12
PRKDC	AK4	3	626	2.6075865295340343e-06	8.12
PRKDC	KIR3DL2	3	3785	1.061553536583219e-05	8.12
PRKDC	GAS1	2	4	3.952971363759631e-05	8.12
PRKDC	RPE65	3	7	6.646478429262061e-08	8.12
PRKDC	POLR3H	3	761	3.667893142042712e-06	8.12
PRKDC	FARS2	4	14	1.532115832729632e-09	8.12
PRKDC	KIR2DS2	3	3785	1.061553536583219e-05	8.12
PRKDC	BRCC3	2	4	2.915019465617909e-05	8.12
PRKDC	ULK2	2	2	9.668404363894354e-06	8.12
PRKDC	SLC9A3	3	1413	3.4781360636726456e-06	8.12
PRKDC	ST6GALNAC5	4	612	1.0290362467314785e-07	8.12
PRKDC	STAT5A	2	14	1.7348558415773827e-05	8.12
PRKDC	NUP188	3	202	7.219685907510985e-07	8.12
PRKDC	DEFA1	2	1	3.361367135241245e-06	8.12
PRKDC	TAF10	2	2	0.00011745360582569885	8.12
PRKDC	TUBA1A	2	9	1.5034620288447312e-05	8.12
PRKDC	VCAN	3	703	4.317180558209744e-06	8.12
PRKDC	EXO1	2	1	6.417661404184315e-05	8.12
PRKDC	ETNK1	3	115	4.7506577580499767e-07	8.12
PRKDC	VANGL1	2	13	4.297793146627028e-05	8.12
PRKDC	GAB1	2	7	1.0115994985382597e-05	8.12
PRKDC	PARVB	2	4	8.952682332981317e-06	8.12
PRKDC	PEX19	3	73	1.116510679018179e-06	8.12
PRKDC	RPS18	3	28	7.271490738540369e-08	8.12
PRKDC	ISY1-RAB43	3	116	5.984462880709621e-07	8.12
PRKDC	APC	2	23	2.527267941981028e-05	8.12
PRKDC	SMC1B	1	1	0.004784688995215311	8.12
PRKDC	TOP3A	2	4	9.309612632465949e-05	8.12
PRKDC	ITGB7	2	22	2.040266935237422e-05	8.12
PRKDC	ATP5PO	3	26	1.5559707400330511e-07	8.12
PRKDC	OR8S1	3	1212	9.157559897045505e-07	8.12
PRKDC	KMT2B	3	32	1.1034845203987997e-06	8.12
PRKDC	RAE1	3	202	7.219685907510985e-07	8.12
PRKDC	TNFRSF6B	2	3	5.117478834618998e-06	8.12
PRKDC	OR10H1	3	1212	9.157559897045505e-07	8.12
PRKDC	KLRC4	3	878	1.1405136297655012e-05	8.12
PRKDC	FMO3	3	9	7.676782175031236e-08	8.12
PRKDC	DIO3	2	9	5.738186630688581e-05	8.12
PRKDC	SEC23A	2	3	1.2398742241998359e-05	8.12
PRKDC	IL1RL2	2	3	5.117478834618998e-06	8.12
PRKDC	KRAS	2	81	5.269307506189162e-05	8.12
PRKDC	OR8G1	3	1212	9.157559897045505e-07	8.12
PRKDC	ACER1	2	1	3.113712791132146e-06	8.12
PRKDC	CTSS	2	5	8.57476570619277e-06	8.12
PRKDC	PNLIPRP3	3	2	4.4073678339969986e-08	8.12
PRKDC	MYH4	2	3	1.4111828620130248e-05	8.12
PRKDC	RHO	3	643	8.967888494758041e-06	8.12
PRKDC	OR51I2	3	1212	9.157559897045505e-07	8.12
PRKDC	IL20	2	10	1.3848659008325405e-05	8.12
PRKDC	SDR16C5	3	7	6.646478429262061e-08	8.12
PRKDC	XPA	2	4	0.00015589995324446758	8.12
PRKDC	EIF2AK4	2	3	1.2398742241998359e-05	8.12
PRKDC	OR10R2	3	1212	9.157559897045505e-07	8.12
PRKDC	ARNT	2	5	2.816885142192806e-05	8.12
PRKDC	AGAP11	2	3	6.2833217729429554e-06	8.12
PRKDC	TBX21	2	4	1.7643161237183446e-05	8.12
PRKDC	GZMB	2	5	1.501488509734177e-05	8.12
PRKDC	MMP13	2	2	1.6735944337754293e-05	8.12
PRKDC	CTRL	3	1608	4.2745289097416706e-06	8.12
PRKDC	SLC26A6	3	170	2.32681970335654e-06	8.12
PRKDC	LIN9	2	43	0.0003111996344823499	8.12
PRKDC	OR2Z1	3	1212	9.157559897045505e-07	8.12
PRKDC	APOA2	3	261	2.7728696058967753e-06	8.12
PRKDC	MCM2	1	1	0.006622516556291391	8.12
PRKDC	PPP2R5C	2	55	8.98992815770304e-05	8.12
PRKDC	C1S	3	153	1.9458038435476154e-06	8.12
PRKDC	MAP2K3	2	44	7.305837479507512e-05	8.12
PRKDC	OR52N4	3	1212	9.157559897045505e-07	8.12
PRKDC	OR8K3	3	1212	9.157559897045505e-07	8.12
PRKDC	MAP4K2	2	9	1.950193762815711e-05	8.12
PRKDC	SLC37A4	3	1135	8.932758454732027e-06	8.12
PRKDC	APBB1IP	3	7491	1.0652291350172497e-05	8.12
PRKDC	PARN	3	50	7.018458454397713e-07	8.12
PRKDC	CAMK2A	2	54	4.032500715884563e-05	8.12
PRKDC	ABCA12	3	10	1.814100768325171e-07	8.12
PRKDC	FSHB	2	2	1.8192336660105297e-06	8.12
PRKDC	ALG10	3	39	1.3255572491636333e-06	8.12
PRKDC	FTL	2	1	1.786556519502051e-06	8.12
PRKDC	GABRQ	3	3336	2.6448576545206286e-06	8.12
PRKDC	MICALL2	2	3	1.4111828620130248e-05	8.12
PRKDC	ADPRM	3	737	1.7132003178402812e-06	8.12
PRKDC	FLT3LG	2	30	3.5094229784358824e-05	8.12
PRKDC	TRPV6	3	1956	5.880107735977539e-06	8.12
PRKDC	EZH1	3	32	1.1034845203987997e-06	8.12
PRKDC	RXRB	2	13	2.808022192844286e-05	8.12
PRKDC	SYMPK	2	3	9.46455975727611e-06	8.12
PRKDC	POU5F1B	2	5	1.8127135351923274e-05	8.12
PRKDC	TAS2R1	3	600	2.7663543052077107e-06	8.12
PRKDC	TBC1D7	2	2	9.668404363894354e-06	8.12
PRKDC	NCF4	2	2	2.754176338168198e-06	8.12
PRKDC	DNAJC5B	2	3	1.2398742241998359e-05	8.12
PRKDC	STX3	3	85	5.064960780441282e-07	8.12
PRKDC	OR8D2	3	1212	9.157559897045505e-07	8.12
PRKDC	OR10J1	3	1212	9.157559897045505e-07	8.12
PRKDC	BTD	3	1	4.935686036667804e-08	8.12
PRKDC	IFNA13	2	26	1.6320211714207292e-05	8.12
PRKDC	EIF5	3	202	7.219685907510985e-07	8.12
PRKDC	OR4C15	3	1212	9.157559897045505e-07	8.12
